rank,title,artist,album
1,To. X,태연 (TAEYEON),To. X - The 5th Mini Album
2,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night
3,Love 119,RIIZE,Love 119
4,Drama,aespa,Drama - The 4th Mini Album
5,에피소드,이무진,에피소드
6,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS'
7,비의 랩소디,임재현,비의 랩소디
8,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles in December)’
9,Baddie,IVE (아이브),I'VE MINE
10,Ditto,NewJeans,NewJeans 'OMG'
11,I AM,IVE (아이브),I've IVE
12,Get A Guitar,RIIZE,Get A Guitar
13,인사,범진,인사
14,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me]
15,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
16,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
17,그대가 내 안에 박혔다,황치열,그대가 내 안에 박혔다
18,헤어지자 말해요,박재정,1집 Alone
19,Love Lee,AKMU(악뮤),Love Lee
20,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
21,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
22,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
23,후라이의 꿈,AKMU(악뮤),Love Lee
24,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album
25,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
26,화이트 (White),폴킴(Paul Kim),화이트 (White)
27,Discord,QWER,1st Single Album 'Harmony from Discord'
28,Standing Next to You,정국,GOLDEN
29,GODS,NewJeans,2023 리그 오브 레전드 월드 챔피언십 주제곡
30,잠시라도 우리,성시경,잠시라도 우리
31,Steal The Show (From “엘리멘탈”),Lauv(라우브),Steal The Show (From “엘리멘탈”)
32,Off The Record,IVE (아이브),I'VE MINE
33,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album
34,OMG,NewJeans,NewJeans 'OMG'
35,Talk Saxy,RIIZE,Talk Saxy
36,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
37,퀸카 (Queencard),(여자)아이들,I feel
38,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
39,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
40,숲,최유리,유영
41,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
42,Kitsch,IVE (아이브),I've IVE
43,Spicy,aespa,MY WORLD - The 3rd Mini Album
44,넌 쉽게 말했지만,소수빈,싱어게인3 - 무명가수전 Episode.8
45,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),항해
46,After LIKE,IVE (아이브),After LIKE
47,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
48,사랑할 수밖에,볼빨간사춘기,Merry Go Round
49,Fast Forward,전소미,GAME PLAN
50,Either Way,IVE (아이브),I'VE MINE
51,LOVE DIVE,IVE (아이브),LOVE DIVE
52,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
53,사막에서 꽃을 피우듯,우디(Woody),사막에서 꽃을 피우듯
54,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
55,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
56,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
57,DIE 4 YOU,DEAN(딘),4:44
58,사랑을 하다가,황치열,사랑을 하다가
59,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
60,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
61,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,스트릿 우먼 파이터2(SWF2) 계급미션
62,음악의 신,세븐틴(SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN'
63,Underwater,권은비,Lethality
64,Bubble,STAYC(스테이씨),TEENFRESH
65,달빛에 그려지는,미연 ((여자)아이들),연인 OST Part.4
66,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
67,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
68,주저하는 연인들을 위해,잔나비,전설
69,Snowman,Sia(시아),Everyday Is Christmas (Snowman Deluxe Edition)
70,심(心),DK(디셈버),심(心)
71,손오공,세븐틴(SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
72,STAY,The Kid LAROI,STAY
73,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
74,Off My Face,Justin Bieber(저스틴 비버),Justice
75,미워 (Ego),Crush,wonderego
76,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
77,Baggy Jeans,NCT U,Golden Age - The 4th Album
78,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2
79,잔소리,황치열,싸이월드 BGM 2021
80,When I Get Old,Christopher(크리스토퍼),When I Get Old
81,지극히 사적인 얘기,다비치,지극히 사적인 얘기
82,예뻤어,DAY6 (데이식스),Every DAY6 February
83,Melt Away,태연 (TAEYEON),To. X - The 5th Mini Album
84,취중고백,김민석,취중고백
85,입술 (Feat. 10CM),헤이즈(Heize),Last Winter
86,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up'
87,Summer (Feat. BE’O (비오)),Paul Blanco,Summer
88,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
89,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박)
90,어른,Sondia,나의 아저씨 (tvN 수목드라마) OST - Part.2
91,Rewrite The Stars,Zac Efron(잭 에프론),위대한 쇼맨 (The Greatest Showman) OST
92,이해한다는 말 (Understanding),황치열,GIFT
